[0.0, 0.075]
[0.001, 0.075]
[0.002, 0.075]
[0.003, 0.075]
[0.004, 0.075]
[0.005, 0.075]
[0.006, 0.075]
[0.007, 0.075]
[0.008, 0.075]
[0.009, 0.075]
[0.01, 0.075]
[0.011, 0.075]
[0.012, 0.075]
[0.013, 0.075]
[0.014, 0.075]
[0.015, 0.075]
[0.016, 0.075]
[0.017, 0.075]
[0.018, 0.075]
[0.019, 0.075]
[0.02, 0.075]
[0.021, 0.075]
[0.022, 0.075]
[0.023, 0.075]
[0.024, 0.075]
[0.025, 0.075]
[0.026, 0.075]
[0.027, 0.075]
[0.028, 0.075]
[0.029, 0.075]
[0.03, 0.075]
[0.031, 0.075]
[0.032, 0.075]
[0.033, 0.075]
[0.034, 0.075]
[0.035, 0.075]
[0.036, 0.075]
[0.037, 0.075]
[0.038, 0.075]
[0.039, 0.075]
[0.04, 0.075]
[0.041, 0.075]
[0.042, 0.075]
[0.043, 0.075]
[0.044, 0.075]
[0.045, 0.075]
[0.046, 0.075]
[0.047, 0.075]
[0.048, 0.075]
[0.049, 0.075]
[0.05, 0.075]
[0.051, 0.075]
[0.052, 0.075]
[0.053, 0.075]
[0.054, 0.075]
[0.055, 0.075]
[0.056, 0.075]
[0.057, 0.075]
[0.058, 0.075]
[0.059, 0.075]
[0.06, 0.075]
[0.061, 0.075]
[0.062, 0.075]
[0.063, 0.075]
[0.064, 0.075]
[0.065, 0.075]
[0.066, 0.075]
[0.067, 0.075]
[0.068, 0.075]
[0.069, 0.075]
[0.07, 0.075]
[0.071, 0.075]
[0.072, 0.075]
[0.073, 0.075]
[0.074, 0.075]
[0.075, 0.075]
[0.076, 0.075]
[0.077, 0.075]
[0.078, 0.075]
[0.079, 0.075]
[0.08, 0.075]
[0.081, 0.075]
[0.082, 0.075]
[0.083, 0.075]
[0.084, 0.075]
[0.085, 0.075]
[0.086, 0.075]
[0.087, 0.075]
[0.088, 0.075]
[0.089, 0.075]
[0.09, 0.075]
[0.091, 0.075]
[0.092, 0.075]
[0.093, 0.075]
[0.094, 0.075]
[0.095, 0.075]
[0.096, 0.075]
[0.097, 0.075]
